id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
7f73d5f5,ASUS P1704VA-AU816X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00686938.html,https://media.ldlc.com/r150/ld/products/00/06/14/34/LD0006143450_0006250162.jpg,,True,ldlc,France,2025-12-29T00:47:44.867715,,,,,
b970e442,ASUS P1704VA-AU908X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00707809.html,https://media.ldlc.com/r150/ld/products/00/06/28/44/LD0006284491.jpg,,True,ldlc,France,2025-12-29T00:47:44.869752,,,,,
f92531ad,ASUS P1704VA-AU909X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00711563.html,https://media.ldlc.com/r150/ld/products/00/06/28/44/LD0006284491_0006291364.jpg,,True,ldlc,France,2025-12-29T00:47:44.870749,,,,,
ec124634,ASUS ProArt P16 OLED H7606WM-SC065X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00695990.html,https://media.ldlc.com/r150/ld/products/00/06/25/54/LD0006255418_0006256647_0006260556.jpg,,True,ldlc,France,2025-12-29T00:47:44.871751,,,,,
c7ef0dac,ASUS ProArt P16 OLED H7606WP-SC142W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00691198.html,https://media.ldlc.com/r150/ld/products/00/06/28/78/LD0006287854.jpg,,True,ldlc,France,2025-12-29T00:47:44.872780,,,,,
2fe17cbe,ASUS ROG Flow Z13 GZ302EA-RU004W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00666801.html,https://media.ldlc.com/r150/ld/products/00/06/21/32/LD0006213242.jpg,,True,ldlc,France,2025-12-29T00:47:44.874752,,,,,
10466fc6,ASUS ROG STRIX G16 G614FP-S5050W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00714171.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266042_0006297054_0006297061.jpg,,True,ldlc,France,2025-12-29T00:47:44.875755,,,,,
81f792aa,ASUS ROG STRIX G16 G614FR-S5211W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00714170.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266042_0006297054.jpg,,True,ldlc,France,2025-12-29T00:47:44.876750,,,,,
29594cdf,ASUS ROG STRIX G16 G614PM-RV066W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00691197.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266042.jpg,,True,ldlc,France,2025-12-29T00:47:44.877750,,,,,
28e87263,ASUS ROG STRIX G16 G614PR-RV079W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00708172.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266046_0006285512.jpg,,True,ldlc,France,2025-12-29T00:47:44.878751,,,,,
c55036bd,ASUS ROG STRIX G16 G615LP-DR5085W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00686909.html,https://media.ldlc.com/r150/ld/products/00/06/26/62/LD0006266247.jpg,,True,ldlc,France,2025-12-29T00:47:44.880756,,,,,
15590ddf,ASUS ROG STRIX G16 G615LR-S5091W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00678206.html,https://media.ldlc.com/r150/ld/products/00/06/26/62/LD0006266239.jpg,,True,ldlc,France,2025-12-29T00:47:44.881754,,,,,
eb28b785,ASUS ROG STRIX G16 G615LW-S5056W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00669453.html,https://media.ldlc.com/r150/ld/products/00/06/26/62/LD0006266256.jpg,,True,ldlc,France,2025-12-29T00:47:44.882771,,,,,
dea9b03d,ASUS ROG STRIX G18 G814FM-S9033W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00709229.html,https://media.ldlc.com/r150/ld/products/00/06/24/73/LD0006247392_0006287023.jpg,,True,ldlc,France,2025-12-29T00:47:44.884769,,,,,
bb8870cf,ASUS ROG STRIX G18 G815LW-S9057W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00669237.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224690.jpg,,True,ldlc,France,2025-12-29T00:47:44.885745,,,,,
23f21a98,ASUS ROG STRIX SCAR 16 G635LW-RW075W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00669452.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224685.jpg,,True,ldlc,France,2025-12-29T00:47:44.887740,,,,,
ae145983,ASUS ROG STRIX SCAR 18 G835LW-DRSA137W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00690257.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648_0006244268_0006252785.jpg,,True,ldlc,France,2025-12-29T00:47:44.888746,,,,,
f7b8b055,ASUS ROG STRIX SCAR 18 G835LW-SA140W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00696168.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648_0006244268_0006252785_0006255442_0006261165.jpg,,True,ldlc,France,2025-12-29T00:47:44.890747,,,,,
6ce136c6,ASUS ROG STRIX SCAR 18 G835LX-S9206W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00715580.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648_0006300164.jpg,,True,ldlc,France,2025-12-29T00:47:44.891745,,,,,
87a51d8c,ASUS ROG STRIX SCAR 18 G835LX-SA012W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00696468.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648_0006244268_0006262785.jpg,,True,ldlc,France,2025-12-29T00:47:44.892742,,,,,
30580d01,ASUS ROG STRIX SCAR 18 G835LX-SA038W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00713431.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648_0006244268_0006295045.jpg,,True,ldlc,France,2025-12-29T00:47:50.377432,,,,,
d5e2e0da,ASUS ROG STRIX SCAR 18 G835LX-SA083W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00669228.html,https://media.ldlc.com/r150/ld/products/00/06/22/46/LD0006224648.jpg,,True,ldlc,France,2025-12-29T00:47:50.378433,,,,,
46beb1ab,ASUS ROG Zephyrus Duo 16 GX650RS-004W,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717119.html,https://media.ldlc.com/r150/ld/products/00/06/30/35/LD0006303533.jpg,,True,ldlc,France,2025-12-29T00:47:50.379449,,,,,
